id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
260504,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Vox Peccavi,2018-08-04,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 21 July 2018""",Vox Peccavi,8/4/2018,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 21 July 2018,Vox Peccavi,3,Mayo-Tsanaga department,Far North region,Mayo-Tsanaga department,10.58221,13.79351,POINT (13.793510 10.582210),145108,Cameroon,471,Africa,1,1,7/21/2018,7/21/2018,0,0,1,0,1,1,1
260142,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,4,"""Agence France Presse,2018-07-23,Boko Haram suicide attack kills eight at mosque"";""AllAfrica,2018-07-23,8 Worshippers Dead in Konduga Attack"";""International Crisis Group,2018-07-31,Nigeria July 2018"";""West African Security and Risk Management  Skip to content,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Agence France Presse;AllAfrica;International Crisis Group;West African Security and Risk Management  Skip to content,2018-07-23;2018-07-23;2018-07-31;2018-08-12,Boko Haram suicide attack kills eight at mosque;8 Worshippers Dead in Konduga Attack;Nigeria July 2018;NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018,a civilian militia member; a local resident; Crisis Watch; Vox Peccavi,1,Konduga town,Borno state,Konduga lga,11.65583,13.42133,POINT (13.421330 11.655830),146547,Nigeria,475,Africa,1,1,7/23/2018,7/23/2018,0,0,7,0,7,7,8
262610,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,2,"""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018"";""Actu Cameroun,2018-07-26,Cameroon: Boko haram kills three people in Talakachi (Far-North)""",Vox Peccavi;Actu Cameroun,2018-08-12;2018-07-26,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018;Cameroon: Boko haram kills three people in Talakachi (Far-North),Vox Peccavi; witnesses,2,Mozogo village,Far North region,Mayo-Tsanaga department,10.96598,13.90683,POINT (13.906830 10.965980),145108,Cameroon,471,Africa,1,1,7/23/2018,7/23/2018,0,0,3,0,3,3,3
277579,2018,0,1,353,Cameroon: Government,12422,Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,83,471,Government of Cameroon,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Vox Peccavi,8/12/2018,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018,,2,Mozogo village,Far North region,Mayo-Tsanaga department,10.96598,13.90683,POINT (13.906830 10.965980),145108,Cameroon,471,Africa,1,1,7/23/2018,7/23/2018,0,1,0,0,1,1,1
260237,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,1,"""AllAfrica,2018-07-28,17 Soldiers Killed, Equipment Stolen in Multiple Boko Haram Onslaught""",AllAfrica,7/28/2018,"17 Soldiers Killed, Equipment Stolen in Multiple Boko Haram Onslaught",military sources ,3,Damboa lga,Borno state,Damboa lga,11.09826,12.76417,POINT (12.764170 11.098260),145826,Nigeria,475,Africa,1,1,7/24/2018,7/24/2018,7,0,0,0,7,7,7
262612,2018,0,1,353,Cameroon: Government,12422,Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,83,471,Government of Cameroon,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Vox Peccavi,8/12/2018,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018,Vox Peccavi,3,Mayo-Tsanaga department,Far North region,Mayo-Tsanaga department,10.58221,13.79351,POINT (13.793510 10.582210),145108,Cameroon,471,Africa,1,1,7/24/2018,7/24/2018,0,1,0,0,1,1,1
260248,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,6,"""AllAfrica,2018-07-28,17 Soldiers Killed, Equipment Stolen in Multiple Boko Haram Onslaught"";""Agence France Presse,2018-07-29,Boko Haram kills 11 troops in NE Nigeria: source"";""International Crisis Group,2018-07-31,Nigeria July 2018"";""Nigeria Watch,2018-07-26,IBD014466"";""West African Security and Risk Management  Skip to content,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018"";""Vox Peccavi,2018-09-18,Battle of the FOBS- Boko Haram ISWAPs 2018 Rainy Season Offensive (1)""",AllAfrica;Agence France Presse;International Crisis Group;Nigeria Watch;West African Security and Risk Management  Skip to content;Vox Peccavi,2018-07-28;2018-07-29;2018-07-31;2018-07-26;2018-08-12;2018-09-18,"17 Soldiers Killed, Equipment Stolen in Multiple Boko Haram Onslaught;Boko Haram kills 11 troops in NE Nigeria: source;Nigeria July 2018;IBD014466;NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018;Battle of the FOBS- Boko Haram ISWAPs 2018 Rainy Season Offensive (1)",senior officers; Crisis Watch; Vox Peccavi,1,Jakana village,Borno state,Konduga lga,11.81202,12.82271,POINT (12.822710 11.812020),146546,Nigeria,475,Africa,1,1,7/26/2018,7/26/2018,6,7,0,0,4,13,13
260269,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,2,"""Agence France Presse,2018-07-29,Boko Haram kills 11 troops in NE Nigeria: source"";""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Agence France Presse;Vox Peccavi,2018-07-29;2018-08-12,Boko Haram kills 11 troops in NE Nigeria: source;NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018,residents; a military source; Vox Paccavi,2,Monguno town,Borno state,Monguno lga,12.67863,13.60792,POINT (13.607920 12.678630),147988,Nigeria,475,Africa,1,1,7/27/2018,7/27/2018,11,0,3,0,14,14,14
260277,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,5,"""Terrorism Research And Analysis Consortium,2018-07-31,Soldiers kill 16 Boko Haram members, recover gun trucks in Mairari village in Monguno Local Government Area of Borno – more likely Islamic State West Africa - ISWA on 29 July 2018"";""Vanguard,2018-07-29,Army Kill 16 insurgents, recover large cache  of arms, ammunition in Borno  "";""AllAfrica,2018-07-30,Soldiers Kill 16 Boko Haram Members, Recover Gun Trucks - Official  
CR  Premium Times"";""Nigeria Watch,2018-07-27,IBD014479"";""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Terrorism Research And Analysis Consortium;Vanguard;AllAfrica;Nigeria Watch;Vox Peccavi,2018-07-31;2018-07-29;2018-07-30;2018-07-27;2018-08-12,"Soldiers kill 16 Boko Haram members, recover gun trucks in Mairari village in Monguno Local Government Area of Borno – more likely Islamic State West Africa - ISWA on 29 July 2018;Army Kill 16 insurgents, recover large cache  of arms, ammunition in Borno  ;Soldiers Kill 16 Boko Haram Members, Recover Gun Trucks - Official  
CR  Premium Times;IBD014479;NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018","Onyema Nwachukwu, Deputy Director Public Relations; Nigeria Watch",3,Monguno lga,Borno state,Monguno lga,12.57852,13.61727,POINT (13.617270 12.578520),147988,Nigeria,475,Africa,1,1,7/27/2018,7/27/2018,0,16,0,0,16,16,16
262599,2018,1,1,297,Nigeria: Government,640,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,84,475,Government of Nigeria,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""Vox Peccavi,2018-08-12,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018""",Vox Peccavi,8/12/2018,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 28 July 2018,Vox Peccavi,1,Dikwa town,Borno state,Dikwa lga,12.03609,13.91815,POINT (13.918150 12.036090),147268,Nigeria,475,Africa,1,1,7/27/2018,7/27/2018,0,2,0,0,2,2,2
260549,2018,1,1,297,Nigeria: Government,640,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,84,475,Government of Nigeria,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,"""Nigeria Watch,2018-07-29,IBD014494"";""Press release Nigeria,2018-07-30,DIKWA: NAF Fighter Jet Bombards Boko Haram Settlement  Read more at: https://prnigeria.com/2018/07/30/naf-fighter-jets-bombards-boko-haram-dikwa/""",Nigeria Watch;Press release Nigeria,2018-07-29;2018-07-30,IBD014494;DIKWA: NAF Fighter Jet Bombards Boko Haram Settlement  Read more at: https://prnigeria.com/2018/07/30/naf-fighter-jets-bombards-boko-haram-dikwa/,Nigeira Watch; Director of Public Relations and Information Nigerian Air Force,2,Dikwa town,Borno state,Dikwa lga,12.03609,13.91815,POINT (13.918150 12.036090),147268,Nigeria,475,Africa,1,1,7/29/2018,7/29/2018,0,0,0,0,0,0,3
262708,2018,0,1,353,Cameroon: Government,12422,Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,83,471,Government of Cameroon,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,"""Vox Peccavi,2018-08-17,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 04 August 2018"";""Reliefweb,2018-08-01,Cameroon – Conflict (DG ECHO, MSF, UNHCR) (ECHO Daily Flash of 1 August 2018)"";""AllAfrica,2018-10-04,Cameroon's Forced Returns of Nigerian Refugees Leads to More Tragedies""",Vox Peccavi;Reliefweb;AllAfrica,2018-08-17;2018-08-01;2018-10-04,"NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 04 August 2018;Cameroon – Conflict (DG ECHO, MSF, UNHCR) (ECHO Daily Flash of 1 August 2018);Cameroon's Forced Returns of Nigerian Refugees Leads to More Tragedies",Vox Peccavi,3,Mayo-Sava department,Far North region,Mayo-Sava department,11.10682,14.2056,POINT (14.205600 11.106820),145829,Cameroon,471,Africa,1,1,7/29/2018,7/29/2018,0,0,6,0,6,6,6
262712,2018,0,1,353,Cameroon: Government,12422,Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,83,471,Government of Cameroon,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""Vox Peccavi,2018-08-17,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 04 August 2018""",Vox Peccavi,8/17/2018,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 04 August 2018,Vox Peccavi,1,Amchidé town,Far North region,Mayo-Sava department,11.23903,14.12624,POINT (14.126240 11.239030),145829,Cameroon,471,Africa,1,1,7/31/2018,7/31/2018,0,1,0,0,1,1,1
